Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1962.0,06 Jun 1962 - 15:00 ,Group 2,Nacional,Germany FR,2.0,0.0,Chile
1962.0,07 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Yugoslavia,5.0,0.0,Colombia
1962.0,07 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Mexico,3.0,1.0,Czechoslovakia
1962.0,07 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,England,0.0,0.0,Bulgaria
1962.0,07 Jun 1962 - 15:00 ,Group 2,Nacional,Italy,3.0,0.0,Switzerland
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Carlos Dittborn,Chile,2.0,1.0,Soviet Union
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio Sausalito,Brazil,3.0,1.0,England
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio El Teniente-Codelco,Czechoslovakia,1.0,0.0,Hungary
1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Nacional,Yugoslavia,1.0,0.0,Germany FR
1962.0,13 Jun 1962 - 14:30 ,Semi-finals,Estadio Sausalito,Czechoslovakia,3.0,1.0,Yugoslavia
1962.0,13 Jun 1962 - 14:30 ,Semi-finals,Nacional,Brazil,4.0,2.0,Chile
1962.0,16 Jun 1962 - 14:30 ,Match for third place,Nacional,Chile,1.0,0.0,Yugoslavia
1962.0,17 Jun 1962 - 14:30 ,Final,Nacional,Brazil,3.0,1.0,Czechoslovakia
1966.0,11 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,England,0.0,0.0,Uruguay
1966.0,12 Jul 1966 - 19:30 ,Group 2,Hillsborough,Germany FR,5.0,0.0,Switzerland
1966.0,12 Jul 1966 - 19:30 ,Group 3,Goodison Park,Brazil,2.0,0.0,Bulgaria
1966.0,12 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Soviet Union,3.0,0.0,Korea DPR
1966.0,13 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,France,1.0,1.0,Mexico
1966.0,13 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Portugal,3.0,1.0,Hungary
1966.0,13 Jul 1966 - 19:30 ,Group 2,Villa Park,Argentina,2.0,1.0,Spain
1966.0,13 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Italy,2.0,0.0,Chile
1966.0,15 Jul 1966 - 19:30 ,Group 1,White City,Uruguay,2.0,1.0,France
1966.0,15 Jul 1966 - 19:30 ,Group 2,Hillsborough,Spain,2.0,1.0,Switzerland
1966.0,15 Jul 1966 - 19:30 ,Group 3,Goodison Park,Hungary,3.0,1.0,Brazil
1966.0,15 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Korea DPR,1.0,1.0,Chile
1966.0,16 Jul 1966 - 15:00 ,Group 3,Old Trafford Stadium,Portugal,3.0,0.0,Bulgaria
1966.0,16 Jul 1966 - 15:00 ,Group 2,Villa Park,Germany FR,0.0,0.0,Argentina
1966.0,16 Jul 1966 - 15:00 ,Group 4,Roker Park Ground,Soviet Union,1.0,0.0,Italy
1966.0,16 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,England,2.0,0.0,Mexico
1966.0,19 Jul 1966 - 16:30 ,Group 1,Wembley Stadium,Uruguay,0.0,0.0,Mexico
1966.0,19 Jul 1966 - 19:30 ,Group 2,Hillsborough,Argentina,2.0,0.0,Switzerland
1966.0,19 Jul 1966 - 19:30 ,Group 3,Goodison Park,Portugal,3.0,1.0,Brazil
1966.0,19 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Korea DPR,1.0,0.0,Italy
1966.0,20 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,England,2.0,0.0,France
1966.0,20 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Hungary,3.0,1.0,Bulgaria
1966.0,20 Jul 1966 - 19:30 ,Group 2,Villa Park,Germany FR,2.0,1.0,Spain
1966.0,20 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Soviet Union,2.0,1.0,Chile
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Wembley Stadium,England,1.0,0.0,Argentina
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Hillsborough,Germany FR,4.0,0.0,Uruguay
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Roker Park Ground,Soviet Union,2.0,1.0,Hungary
1966.0,23 Jul 1966 - 15:00 ,Quarter-finals,Goodison Park,Portugal,5.0,3.0,Korea DPR
1966.0,25 Jul 1966 - 19:30 ,Semi-finals,Goodison Park,Germany FR,2.0,1.0,Soviet Union
1966.0,26 Jul 1966 - 19:30 ,Semi-finals,Wembley Stadium,England,2.0,1.0,Portugal
1966.0,28 Jul 1966 - 19:30 ,Match for third place,Wembley Stadium,Portugal,2.0,1.0,Soviet Union
1966.0,30 Jul 1966 - 15:00 ,Final,Wembley Stadium,England,4.0,2.0,Germany FR
1970.0,31 May 1970 - 12:00 ,Group 1,Estadio Azteca,Mexico,0.0,0.0,Soviet Union
1970.0,02 Jun 1970 - 16:00 ,Group 2,Cuauhtemoc,Uruguay,2.0,0.0,Israel
1970.0,02 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Peru,3.0,2.0,Bulgaria
1970.0,02 Jun 1970 - 16:00 ,Group 3,Jalisco,England,1.0,0.0,Romania
1970.0,03 Jun 1970 - 16:00 ,Group 2,Luis Dosal,Italy,1.0,0.0,Sweden
1970.0,03 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Germany FR,2.0,1.0,Morocco
1970.0,03 Jun 1970 - 16:00 ,Group 3,Jalisco,Brazil,4.0,1.0,Czechoslovakia
1970.0,03 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Belgium,3.0,0.0,El Salvador
1970.0,06 Jun 1970 - 16:00 ,Group 2,Cuauhtemoc,Uruguay,0.0,0.0,Italy
1970.0,06 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Peru,3.0,0.0,Morocco
1970.0,06 Jun 1970 - 16:00 ,Group 3,Jalisco,Romania,2.0,1.0,Czechoslovakia
1970.0,06 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Soviet Union,4.0,1.0,Belgium
1970.0,07 Jun 1970 - 12:00 ,Group 2,Luis Dosal,Sweden,1.0,1.0,Israel
1970.0,07 Jun 1970 - 12:00 ,Group 4,Nou Camp - Estadio Le�n,Germany FR,5.0,2.0,Bulgaria
1970.0,07 Jun 1970 - 12:00 ,Group 3,Jalisco,Brazil,1.0,0.0,England
1970.0,07 Jun 1970 - 12:00 ,Group 1,Estadio Azteca,Mexico,4.0,0.0,El Salvador
1970.0,10 Jun 1970 - 16:00 ,Group 2,Cuauhtemoc,Sweden,1.0,0.0,Uruguay
1970.0,10 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Germany FR,3.0,1.0,Peru
1970.0,10 Jun 1970 - 16:00 ,Group 3,Jalisco,Brazil,3.0,2.0,Romania
1970.0,10 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Soviet Union,2.0,0.0,El Salvador
1970.0,11 Jun 1970 - 16:00 ,Group 2,Luis Dosal,Italy,0.0,0.0,Israel
1970.0,11 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Bulgaria,1.0,1.0,Morocco
1970.0,11 Jun 1970 - 16:00 ,Group 3,Jalisco,England,1.0,0.0,Czechoslovakia
1970.0,11 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Mexico,1.0,0.0,Belgium
1970.0,14 Jun 1970 - 12:00 ,Quarter-finals,Luis Dosal,Italy,4.0,1.0,Mexico
1970.0,14 Jun 1970 - 12:00 ,Quarter-finals,Nou Camp - Estadio Le�n,Germany FR,3.0,2.0,England
1970.0,14 Jun 1970 - 12:00 ,Quarter-finals,Jalisco,Brazil,4.0,2.0,Peru
1970.0,14 Jun 1970 - 12:00 ,Quarter-finals,Estadio Azteca,Uruguay,1.0,0.0,Soviet Union
1970.0,17 Jun 1970 - 16:00 ,Semi-finals,Jalisco,Brazil,3.0,1.0,Uruguay
1970.0,17 June 1970 - 16:00 ,Semi-finals,Estadio Azteca,Italy,4.0,3.0,Germany FR
1970.0,20 Jun 1970 - 16:00 ,Match for third place,Estadio Azteca,Germany FR,1.0,0.0,Uruguay
1970.0,21 Jun 1970 - 12:00 ,Final,Estadio Azteca,Brazil,4.0,1.0,Italy
1974.0,13 Jun 1974 - 17:00 ,Group 2,Waldstadion,Brazil,0.0,0.0,Yugoslavia
1974.0,14 Jun 1974 - 16:00 ,Group 1,Olympiastadion,Germany FR,1.0,0.0,Chile
1974.0,14 Jun 1974 - 19:30 ,Group 1,Volksparkstadion,German DR,2.0,0.0,Australia
1974.0,14 Jun 1974 - 19:30 ,Group 2,Westfalenstadion,Zaire,0.0,2.0,Scotland
1974.0,15 Jun 1974 - 16:00 ,Group 3,Niedersachsenstadion,Uruguay,0.0,2.0,Netherlands
1974.0,15 Jun 1974 - 16:00 ,Group 3,Rheinstadion,Sweden,0.0,0.0,Bulgaria
1974.0,15 Jun 1974 - 18:00 ,Group 4,Olympiastadion,Italy,3.0,1.0,Haiti
1974.0,15 Jun 1974 - 18:00 ,Group 4,Neckarstadion,Poland,3.0,2.0,Argentina
1974.0,18 Jun 1974 - 16:00 ,Group 1,Volksparkstadion,Australia,0.0,3.0,Germany FR
1974.0,18 Jun 1974 - 19:30 ,Group 2,Waldstadion,Scotland,0.0,0.0,Brazil
1974.0,18 Jun 1974 - 19:30 ,Group 1,Olympiastadion,Chile,1.0,1.0,German DR
1974.0,18 Jun 1974 - 19:30 ,Group 2,Parkstadion,Yugoslavia,9.0,0.0,Zaire
1974.0,19 Jun 1974 - 19:30 ,Group 3,Westfalenstadion,Netherlands,0.0,0.0,Sweden
1974.0,19 Jun 1974 - 19:30 ,Group 3,Niedersachsenstadion,Bulgaria,1.0,1.0,Uruguay
1974.0,19 Jun 1974 - 19:30 ,Group 4,Olympiastadion,Haiti,0.0,7.0,Poland
1974.0,19 Jun 1974 - 19:30 ,Group 4,Neckarstadion,Argentina,1.0,1.0,Italy
1974.0,22 Jun 1974 - 16:00 ,Group 2,Waldstadion,Scotland,1.0,1.0,Yugoslavia
1974.0,22 Jun 1974 - 16:00 ,Group 1,Olympiastadion,Australia,0.0,0.0,Chile
1974.0,22 Jun 1974 - 16:00 ,Group 2,Parkstadion,Zaire,0.0,3.0,Brazil
1974.0,22 June 1974 - 19:30 ,Group 1,Volksparkstadion,German DR,1.0,0.0,Germany FR
